station id,water year,year,month,day,daily rain,code,,,,,,
208,1949,1948,12,3,0.11,P383,,,,,,
208,1949,1948,12,13,0.18,P383,,,,,,
208,1949,1948,12,17,1.17,P383,,,,,,
208,1949,1948,12,27,1.17,P383,,,,,,
208,1949,1949,1,12,0.25,P383,,,,,,
208,1949,1949,1,20,0.91,P383,,,,,,
208,1949,1949,1,23,0.27,P383,,,,,,
208,1949,1949,2,4,0.17,P383,,,,,,
208,1949,1949,2,7,0.27,P383,,,,,,
208,1949,1949,2,11,0.11,P383,,,,,,
208,1949,1949,2,25,0.36,P383,,,,,,
208,1949,1949,2,27,0.18,P383,,,,,,
208,1949,1949,2,28,0.03,P383,,,,,,
208,1949,1949,3,3,0.27,P383,,,,,,
208,1949,1949,3,4,0.53,P383,,,,,,
208,1949,1949,3,11,0.62,P383,,,,,,
208,1949,1949,3,19,0.29,P383,,,,,,
208,1949,1949,3,23,0.18,P383,,,,,,
208,1949,1949,4,17,0.18,P383,,,,,,
208,1949,1949,5,14,0.36,P383,,,,,,
208,1949,1949,5,18,0.28,P383,,,,,,
208,1949,1949,5,19,0.45,P383,,,,,,
208,1949,1949,5,20,0.2,P383,,,,,,
208,1949,1949,6,22,0.09,P383,,,,,,
208,1950,1949,11,9,2.39,P383,,,,,,
208,1950,1949,11,10,0.03,P383,,,,,,
208,1950,1949,12,8,2.31,P383,,,,,,
208,1950,1949,12,9,0.34,P383,,,,,,
208,1950,1949,12,18,0.47,P383,,,,,,
208,1950,1950,1,9,0.68,P383,,,,,,
208,1950,1950,1,11,0.45,P383,,,,,,
208,1950,1950,1,12,0.27,P383,,,,,,
208,1950,1950,1,15,0.31,P383,,,,,,
208,1950,1950,1,29,0.53,P383,,,,,,
208,1950,1950,2,5,0.18,P383,,,,,,
208,1950,1950,2,6,1.88,P383,,,,,,
208,1950,1950,2,10,0.45,P383,,,,,,
208,1950,1950,2,11,0.22,P383,,,,,,
208,1950,1950,3,24,1.18,P383,,,,,,
208,1950,1950,4,9,0.38,P383,,,,,,
208,1950,1950,6,6,0.13,P383,,,,,,
208,1950,1950,7,2,0.09,P383,,,,,,
208,1951,1950,9,6,0.04,P383,,,,,,
208,1951,1950,9,7,0.04,P383,,,,,,
208,1951,1950,9,17,0.55,P383,,,,,,
208,1951,1950,10,27,0.61,P383,,,,,,
208,1951,1950,11,19,1.19,P383,,,,,,
208,1951,1950,11,20,0.11,P383,,,,,,
208,1951,1950,12,4,0.11,P383,,,,,,
208,1951,1950,12,15,0.18,P383,,,,,,
208,1951,1951,1,5,0.16,P383,,,,,,
208,1951,1951,1,12,0.47,P383,,,,,,
208,1951,1951,1,16,0.04,P383,,,,,,
208,1951,1951,1,19,0.64,P383,,,,,,
208,1951,1951,1,29,0.58,P383,,,,,,
208,1951,1951,2,12,0.04,P383,,,,,,
208,1951,1951,2,22,0.04,P383,,,,,,
208,1951,1951,2,23,0.63,P383,,,,,,
208,1951,1951,2,24,0.07,P383,,,,,,
208,1951,1951,2,27,0.49,P383,,,,,,
208,1951,1951,3,1,0.56,P383,,,,,,
208,1951,1951,4,4,0.11,P383,,,,,,
208,1951,1951,4,18,0.02,P383,,,,,,
208,1951,1951,4,25,0.81,P383,,,,,,
208,1951,1951,4,29,0.52,P383,,,,,,
208,1951,1951,8,28,0.09,P383,,,,,,
208,1952,1951,10,25,0.8,P383,,,,,,
208,1952,1951,11,20,1.16,P383,,,,,,
208,1952,1951,11,21,0.53,P383,,,,,,
208,1952,1951,11,22,0.13,P383,,,,,,
208,1952,1951,12,2,0.53,P383,,,,,,
208,1952,1951,12,4,0.36,P383,,,,,,
208,1952,1951,12,5,0.62,P383,,,,,,
208,1952,1951,12,12,0.46,P383,,,,,,
208,1952,1951,12,13,0.04,P383,,,,,,
208,1952,1951,12,19,0.1,P383,,,,,,
208,1952,1951,12,29,0.98,P383,,,,,,
208,1952,1951,12,30,1.51,P383,,,,,,
208,1952,1951,12,31,0.27,P383,,,,,,
208,1952,1952,1,7,1.02,P383,,,,,,
208,1952,1952,1,8,0.09,P383,,,,,,
208,1952,1952,1,12,0.71,P383,,,,,,
208,1952,1952,1,13,1.78,P383,,,,,,
208,1952,1952,1,14,0.03,P383,,,,,,
208,1952,1952,1,15,2.09,P383,,,,,,
208,1952,1952,1,16,3.07,P383,,,,,,
208,1952,1952,1,18,1.34,P383,,,,,,
208,1952,1952,1,25,0.62,P383,,,,,,
208,1952,1952,2,11,0.04,P383,,,,,,
208,1952,1952,3,1,0.58,P383,,,,,,
208,1952,1952,3,7,1.71,P383,,,,,,
208,1952,1952,3,8,0.14,P383,,,,,,
208,1952,1952,3,9,0.03,P383,,,,,,
208,1952,1952,3,11,0.11,P383,,,,,,
208,1952,1952,3,12,0.11,P383,,,,,,
208,1952,1952,3,15,2,P383,,,,,,
208,1952,1952,3,16,1.36,P383,,,,,,
208,1952,1952,3,19,0.36,P383,,,,,,
208,1952,1952,4,7,0.13,P383,,,,,,
208,1952,1952,4,8,0.8,P383,,,,,,
208,1952,1952,4,10,0.34,P383,,,,,,
208,1952,1952,4,19,0.03,P383,,,,,,
208,1952,1952,4,24,0.09,P383,,,,,,
208,1952,1952,4,25,0.53,P383,,,,,,
208,1952,1952,4,26,0.1,P383,,,,,,
208,1953,1952,11,14,0.95,P383,,,,,,
208,1953,1952,11,15,1.56,P383,,,,,,
208,1953,1952,11,16,0.47,P383,,,,,,
208,1953,1952,11,30,0.58,P383,,,,,,
208,1953,1952,12,1,0.76,P383,,,,,,
208,1953,1952,12,7,0.45,P383,,,,,,
208,1953,1952,12,20,1.2,P383,,,,,,
208,1953,1952,12,27,0.13,P383,,,,,,
208,1953,1952,12,28,1.2,P383,,,,,,
208,1953,1952,12,30,0.89,P383,,,,,,
208,1953,1953,1,7,0.45,P383,,,,,,
208,1953,1953,1,8,0.13,P383,,,,,,
208,1953,1953,1,13,0.93,P383,,,,,,
208,1953,1953,3,10,0.31,P383,,,,,,
208,1953,1953,3,20,0.82,P383,,,,,,
208,1953,1953,4,20,0.45,P383,,,,,,
208,1953,1953,4,21,0.19,P383,,,,,,
208,1953,1953,4,27,0.04,P383,,,,,,
208,1953,1953,4,28,0.85,P383,,,,,,
208,1954,1953,11,5,0.09,P383,,,,,,
208,1954,1953,11,14,0.98,P383,,,,,,
208,1954,1953,11,15,1.25,P383,,,,,,
208,1954,1953,12,4,0.13,P383,,,,,,
208,1954,1954,1,13,1.2,P383,,,,,,
208,1954,1954,1,18,0.67,P383,,,,,,
208,1954,1954,1,19,0.45,P383,,,,,,
208,1954,1954,1,20,1.25,P383,,,,,,
208,1954,1954,1,24,0.49,P383,,,,,,
208,1954,1954,1,25,1.51,P383,,,,,,
208,1954,1954,2,13,0.53,P383,,,,,,
208,1954,1954,2,14,1.69,P383,,,,,,
208,1954,1954,2,15,0.04,P383,,,,,,
208,1954,1954,2,18,0.13,P383,,,,,,
208,1954,1954,3,17,1.25,P383,,,,,,
208,1954,1954,3,20,1.42,P383,,,,,,
208,1954,1954,3,21,0.18,P383,,,,,,
208,1954,1954,3,25,0.18,P383,,,,,,
208,1954,1954,3,30,0.85,P383,,,,,,
208,1954,1954,4,23,0.07,P383,,,,,,
208,1954,1954,4,28,0.27,P383,,,,,,
208,1955,1954,11,11,0.58,P383,,,,,,
208,1955,1954,11,12,0.49,P383,,,,,,
208,1955,1954,11,16,0.49,P383,,,,,,
208,1955,1954,12,4,0.8,P383,,,,,,
208,1955,1954,12,10,0.76,P383,,,,,,
208,1955,1955,1,2,0.91,P383,,,,,,
208,1955,1955,1,7,0.07,P383,,,,,,
208,1955,1955,1,10,1.2,P383,,,,,,
208,1955,1955,1,16,0.45,P383,,,,,,
208,1955,1955,1,18,1.11,P383,,,,,,
208,1955,1955,1,31,0.67,P383,,,,,,
208,1955,1955,2,17,1.47,P383,,,,,,
208,1955,1955,2,26,0.11,P383,,,,,,
208,1955,1955,2,27,0.37,P383,,,,,,
208,1955,1955,2,28,0.05,P383,,,,,,
208,1955,1955,3,11,0.31,P383,,,,,,
208,1955,1955,4,11,0.31,P383,,,,,,
208,1955,1955,4,22,1.02,P383,,,,,,
208,1955,1955,4,26,0.22,P383,,,,,,
208,1955,1955,4,29,0.8,P383,,,,,,
208,1955,1955,4,30,0.36,P383,,,,,,
208,1955,1955,5,7,0.45,P383,,,,,,
208,1955,1955,5,8,0.09,P383,,,,,,
208,1956,1955,11,14,0.71,P383,,,,,,
208,1956,1955,11,17,0.27,P383,,,,,,
208,1956,1955,11,21,0.49,P383,,,,,,
208,1956,1955,12,2,0.31,P383,,,,,,
208,1956,1955,12,4,0.4,P383,,,,,,
208,1956,1955,12,7,0.18,P383,,,,,,
208,1956,1955,12,23,0.22,P383,,,,,,
208,1956,1955,12,24,0.85,P383,,,,,,
208,1956,1955,12,25,1.69,P383,,,,,,
208,1956,1955,12,26,0.53,P383,,,,,,
208,1956,1955,12,27,0.8,P383,,,,,,
208,1956,1955,12,31,0.29,P383,,,,,,
208,1956,1956,1,20,0.06,P383,,,,,,
208,1956,1956,1,23,0.07,P383,,,,,,
208,1956,1956,1,25,0.62,P383,,,,,,
208,1956,1956,1,26,4.27,P383,,,,,,
208,1956,1956,1,27,1.56,P383,,,,,,
208,1956,1956,1,31,0.36,P383,,,,,,
208,1956,1956,2,23,0.45,P383,,,,,,
208,1956,1956,2,24,0.28,P383,,,,,,
208,1956,1956,4,11,0.16,P383,,,,,,
208,1956,1956,4,12,1.62,P383,,,,,,
208,1956,1956,4,13,0.09,P383,,,,,,
208,1956,1956,4,26,0.45,P383,,,,,,
208,1956,1956,4,27,0.2,P383,,,,,,
208,1956,1956,5,9,0.85,P383,,,,,,
208,1956,1956,5,10,0.15,P383,,,,,,
208,1957,1956,10,4,0.07,P383,,,,,,
208,1957,1956,12,5,0.27,P383,,,,,,
208,1957,1957,1,5,0.53,P383,,,,,,
208,1957,1957,1,7,0.18,P383,,,,,,
208,1957,1957,1,12,0.18,P383,,,,,,
208,1957,1957,1,13,1.82,P383,,,,,,
208,1957,1957,1,20,0.34,P383,,,,,,
208,1957,1957,1,24,0.2,P383,,,,,,
208,1957,1957,1,26,0.29,P383,,,,,,
208,1957,1957,1,27,0.45,P383,,,,,,
208,1957,1957,1,29,0.11,P383,,,,,,
208,1957,1957,2,8,0.22,P383,,,,,,
208,1957,1957,2,9,0.27,P383,,,,,,
208,1957,1957,2,16,0.07,P383,,,,,,
208,1957,1957,2,17,0.09,P383,,,,,,
208,1957,1957,2,24,0.85,P383,,,,,,
208,1957,1957,2,25,0.04,P383,,,,,,
208,1957,1957,2,28,1.54,P383,,,,,,
208,1957,1957,3,9,0.34,P383,,,,,,
208,1957,1957,3,16,0.03,P383,,,,,,
208,1957,1957,3,19,0.07,P383,,,,,,
208,1957,1957,4,18,1.32,P383,,,,,,
208,1957,1957,4,20,0.22,P383,,,,,,
208,1957,1957,4,30,0.03,P383,,,,,,
208,1957,1957,5,8,0.03,P383,,,,,,
208,1957,1957,5,19,0.71,P383,,,,,,
208,1957,1957,5,21,0.18,P383,,,,,,
208,1958,1957,10,11,0.45,P383,,,,,,
208,1958,1957,10,13,0.09,P383,,,,,,
208,1958,1957,10,14,0.49,P383,,,,,,
208,1958,1957,10,20,0.38,P383,,,,,,
208,1958,1957,10,21,0.11,P383,,,,,,
208,1958,1957,11,2,0.59,P383,,,,,,
208,1958,1957,11,3,0.12,P383,,,,,,
208,1958,1957,12,5,0.67,P383,,,,,,
