station id,water year,year,month,day,daily rain,code,,,,,
361,1928,1927,10,25,0.35,,,,,,
361,1928,1927,10,26,0.35,,,,,,
361,1928,1927,10,30,0.35,,,,,,
361,1928,1927,11,1,0.26,,,,,,
361,1928,1927,11,9,0.65,,,,,,
361,1928,1927,11,12,0.15,,,,,,
361,1928,1927,12,10,0.45,,,,,,
361,1928,1927,12,14,0.16,,,,,,
361,1928,1927,12,21,0.10,,,,,,
361,1928,1927,12,26,2.26,,,,,,
361,1928,1927,12,27,2.66,,,,,,
361,1928,1927,12,30,0.10,,,,,,
361,1928,1928,1,4,1.20,,,,,,
361,1928,1928,2,3,0.60,,,,,,
361,1928,1928,2,4,1.20,,,,,,
361,1928,1928,2,5,0.36,,,,,,
361,1928,1928,3,3,0.27,,,,,,
361,1928,1928,3,5,0.07,,,,,,
361,1928,1928,3,6,0.04,,,,,,
361,1928,1928,3,24,0.80,,,,,,
361,1928,1928,3,26,0.07,,,,,,
361,1930,1930,1,5,0.13,,,,,,
361,1930,1930,1,7,0.30,,,,,,
361,1930,1930,1,9,0.02,,,,,,
361,1930,1930,1,10,1.10,,,,,,
361,1930,1930,1,11,0.50,,,,,,
361,1930,1930,1,12,0.05,,,,,,
361,1930,1930,1,13,0.30,,,,,,
361,1930,1930,1,14,0.13,,,,,,
361,1930,1930,1,15,0.15,,,,,,
361,1930,1930,1,16,0.08,,,,,,
361,1930,1930,1,18,0.03,,,,,,
361,1930,1930,1,19,0.23,,,,,,
361,1930,1930,2,20,0.24,,,,,,
361,1930,1930,2,22,0.15,,,,,,
361,1930,1930,2,23,0.54,,,,,,
361,1930,1930,2,24,0.16,,,,,,
361,1930,1930,2,26,0.05,,,,,,
361,1930,1930,2,27,0.10,,,,,,
361,1930,1930,3,3,0.07,,,,,,
361,1930,1930,3,4,0.11,,,,,,
361,1930,1930,3,5,0.47,,,,,,
361,1930,1930,3,6,0.22,,,,,,
361,1930,1930,3,7,0.02,,,,,,
361,1930,1930,3,14,0.84,,,,,,
361,1930,1930,3,15,0.60,,,,,,
361,1930,1930,3,16,0.82,,,,,,
361,1930,1930,3,17,0.22,,,,,,
361,1930,1930,3,19,0.11,,,,,,
361,1930,1930,3,20,0.02,,,,,,
361,1930,1930,4,13,0.20,,,,,,
361,1930,1930,4,14,0.20,,,,,,
361,1930,1930,4,15,0.02,,,,,,
361,1930,1930,4,30,0.28,,,,,,
361,1930,1930,5,1,0.12,,,,,,
361,1930,1930,5,2,0.03,,,,,,
361,1930,1930,5,5,0.66,,,,,,
361,1930,1930,5,6,0.21,,,,,,
361,1930,1930,5,17,0.03,,,,,,
361,1931,1930,9,21,0.12,,,,,,
361,1931,1930,9,29,0.04,,,,,,
361,1931,1930,10,1,0.01,,,,,,
361,1931,1930,11,13,0.08,,,,,,
361,1931,1930,11,15,0.22,,,,,,
361,1931,1930,11,17,0.22,,,,,,
361,1931,1930,11,24,0.43,,,,,,
361,1931,1930,11,28,0.17,,,,,,
361,1931,1930,12,26,0.05,,,,,,
361,1931,1931,1,1,0.03,,,,,,
361,1931,1931,1,2,0.13,,,,,,
361,1931,1931,1,3,0.02,,,,,,
361,1931,1931,1,6,0.86,,,,,,
361,1931,1931,1,8,0.84,,,,,,
361,1931,1931,1,13,0.70,,,,,,
361,1931,1931,1,31,0.33,,,,,,
361,1931,1931,2,3,0.05,,,,,,
361,1931,1931,2,4,0.80,,,,,,
361,1931,1931,2,5,0.07,,,,,,
361,1931,1931,2,10,0.02,,,,,,
361,1931,1931,2,11,0.37,,,,,,
361,1931,1931,2,12,0.45,,,,,,
361,1931,1931,4,26,0.20,,,,,,
361,1931,1931,4,28,0.26,,,,,,
361,1931,1931,5,12,0.12,,,,,,
361,1931,1931,5,24,0.12,,,,,,
361,1931,1931,5,25,0.70,,,,,,
361,1931,1931,8,13,0.05,,,,,,
361,1932,1931,11,15,0.60,,,,,,
361,1932,1931,11,16,0.06,,,,,,
361,1932,1931,11,27,1.66,,,,,,
361,1932,1931,11,28,0.10,,,,,,
361,1932,1931,12,8,0.22,,,,,,
361,1932,1931,12,9,0.83,,,,,,
361,1932,1931,12,10,0.18,,,,,,
361,1932,1931,12,11,0.17,,,,,,
361,1932,1931,12,13,1.10,,,,,,
361,1932,1931,12,21,0.60,,,,,,
361,1932,1931,12,22,0.08,,,,,,
361,1932,1931,12,23,0.06,,,,,,
361,1932,1931,12,24,0.04,,,,,,
361,1932,1931,12,25,0.98,,,,,,
361,1932,1931,12,27,1.35,,,,,,
361,1932,1931,12,29,0.75,,,,,,
361,1932,1931,12,30,0.05,,,,,,
361,1932,1932,1,1,0.35,,,,,,
361,1932,1932,1,2,0.60,,,,,,
361,1932,1932,1,12,0.15,,,,,,
361,1932,1932,1,13,0.08,,,,,,
361,1932,1932,1,14,0.10,,,,,,
361,1932,1932,1,15,1.64,,,,,,
361,1932,1932,1,16,0.54,,,,,,
361,1932,1932,1,27,0.22,,,,,,
361,1932,1932,1,31,0.09,,,,,,
361,1932,1932,2,1,1.09,,,,,,
361,1932,1932,2,2,0.29,,,,,,
361,1932,1932,2,4,0.04,,,,,,
361,1932,1932,2,7,0.02,,,,,,
361,1932,1932,2,8,0.40,,,,,,
361,1932,1932,2,9,0.89,,,,,,
361,1932,1932,2,10,0.05,,,,,,
361,1932,1932,2,14,0.07,,,,,,
361,1932,1932,2,16,0.07,,,,,,
361,1932,1932,2,17,0.08,,,,,,
361,1932,1932,3,15,0.05,,,,,,
361,1932,1932,4,27,0.08,,,,,,
361,1932,1932,5,4,0.25,,,,,,
361,1933,1932,11,30,0.10,,,,,,
361,1933,1932,12,1,0.10,,,,,,
361,1933,1932,12,9,0.25,,,,,,
361,1933,1932,12,10,0.35,,,,,,
361,1933,1932,12,11,0.15,,,,,,
361,1933,1932,12,12,0.15,,,,,,
361,1933,1932,12,19,0.17,,,,,,
